consequent,distance,distance_len
automation,6.4338391681350514e-09,695
filtration,6.990328881954672e-09,695
airlock,3.558182058752846e-08,695
plumbing,3.0909643279355867,695
tank,1.5742439810215025,695
farm,6.4345282066404574e-09,695
garden,6.640299586636868e-09,695
storage,2.2428231904343674,695
kitchen,2.505616452285344,695
decoration,6.340870055757423e-09,695
bedroom,6.649901956517162e-09,695
exerciseroom,5.845419065863849e-09,695
recreation,6.538696716655274e-09,695
medbay,6.249082101457738e-09,695
stairs,6.447642909810371e-09,695
windows,0.012888946855337393,695
protectivewalls,8.11974462655642e-09,695
nuclear,0.2687968758594214,695
solar,1.83781136646779,695
powercords,1.4964894422785386,695
rover,0.7692868553853618,695
drone,0.5267378732099822,695
landingpad,0.0008416504751250172,695
elevator,0.06915959790014761,695
path,6.304243676796863e-09,695
office,7.730469979034223e-08,695
dish,1.1687019086536077,695
oxygen,3.059080773698604,27
foodandwater,3.615534381790958,27
supplies,1.683835730140336,27
gravity,0.9544957326701022,27
health,0.0005800207304413743,27
radiation,0.819505538354128,27
power,1.5945760825972564,27
transportation,0.052893706532846106,27
communication,0.8139331563105757,27
